OBJECTID	NUTS_ID	CNTR_CODE	NUTS_NAME	NAME_LATN	NAME_ASCI	NAME_HTML
790	SI023	SI	Goriška	Goriška	Goriska	Gori&#x0161;ka
791	SI024	SI	Obalno-kraška	Obalno-kraška	Obalno-kraska	Obalno-kra&#x0161;ka
792	SK	SK	Slovenská Republika	Slovenská Republika	Slovenska Republika	Slovensk&#x00E1; Republika
793	SK0	SK	Slovenská Republika	Slovenská Republika	Slovenska Republika	Slovensk&#x00E1; Republika
794	SK01	SK	Bratislavský kraj	Bratislavský kraj	Bratislavsky kraj	Bratislavsk&#x00FD; kraj
795	SK010	SK	Bratislavský kraj	Bratislavský kraj	Bratislavsky kraj	Bratislavsk&#x00FD; kraj
796	SK02	SK	Západné Slovensko	Západné Slovensko	Zapadne Slovensko	Z&#x00E1;padn&#x00E9; Slovensko
797	SK021	SK	Trnavský kraj	Trnavský kraj	Trnavsky kraj	Trnavsk&#x00FD; kraj
798	SK022	SK	Trenčiansky kraj	Trenčiansky kraj	Trenciansky kraj	Tren&#x010D;iansky kraj
799	SK023	SK	Nitriansky kraj	Nitriansky kraj	Nitriansky kraj	Nitriansky kraj
800	FR831	FR	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud	Corse-du-Sud
801	FR832	FR	Haute-Corse	Haute-Corse	Haute-Corse	Haute-Corse
802	FR9	FR	Départements d'Outre-Mer	Départements d'Outre-Mer	Departements d'Outre-Mer	D&#x00E9;partements d'Outre-Mer
803	FR91	FR	Guadeloupe	Guadeloupe	Guadeloupe	Guadeloupe
804	FR910	FR	Guadeloupe	Guadeloupe	Guadeloupe	Guadeloupe
805	FR92	FR	Martinique	Martinique	Martinique	Martinique
806	FR920	FR	Martinique	Martinique	Martinique	Martinique
807	FR93	FR	Guyane	Guyane	Guyane	Guyane
808	FR930	FR	Guyane	Guyane	Guyane	Guyane
809	FR94	FR	Réunion	Réunion	Reunion	R&#x00E9;union
810	FR940	FR	Réunion	Réunion	Reunion	R&#x00E9;union
811	GR	GR	Ελλαδα	Ellada	Ellada	Ellada
812	GR1	GR	Βορεια Ελλαδα	Voreia Ellada	Voreia Ellada	Voreia Ellada
813	GR11	GR	Aνατολική Μακεδονία, Θράκη	Anatoliki Makedonia, Thraki	Anatoliki Makedonia, Thraki	Anatoliki Makedonia, Thraki
814	GR111	GR	Έβρος	Evros	Evros	Evros
815	GR112	GR	Ξάνθη	Xanthi	Xanthi	Xanthi
816	GR113	GR	Ροδόπη	Rodopi	Rodopi	Rodopi
817	GR114	GR	Δράμα	Drama	Drama	Drama
818	GR115	GR	Καβάλα	Kavala	Kavala	Kavala
819	GR12	GR	Κεντρική Μακεδονία	Kentriki Makedonia	Kentriki Makedonia	Kentriki Makedonia
820	GR121	GR	Ημαθία	Imathia	Imathia	Imathia
821	GR122	GR	Θεσσαλονίκη	Thessaloniki	Thessaloniki	Thessaloniki
822	GR123	GR	Κιλκίς	Kilkis	Kilkis	Kilkis
823	GR124	GR	Πέλλα	Pella	Pella	Pella
824	GR125	GR	Πιερία	Pieria	Pieria	Pieria
825	GR126	GR	Σέρρες	Serres	Serres	Serres
826	GR127	GR	Χαλκιδική	Chalkidiki	Chalkidiki	Chalkidiki
827	GR13	GR	Δυτική Μακεδονία	Dytiki Makedonia	Dytiki Makedonia	Dytiki Makedonia
828	GR131	GR	Γρεβενά	Grevena	Grevena	Grevena
829	GR132	GR	Καστοριά	Kastoria	Kastoria	Kastoria
830	GR133	GR	Κοζάνη	Kozani	Kozani	Kozani
831	GR134	GR	Φλώρινα	Florina	Florina	Florina
832	GR14	GR	Θεσσαλία	Thessalia	Thessalia	Thessalia
833	GR141	GR	Καρδίτσα	Karditsa	Karditsa	Karditsa
834	GR142	GR	Λάρισα	Larisa	Larisa	Larisa
835	GR143	GR	Μαγνησία	Magnisia	Magnisia	Magnisia
836	GR144	GR	Τρίκαλα	Trikala	Trikala	Trikala
837	GR2	GR	Κεντρικη Ελλαδα	Kentriki Ellada	Kentriki Ellada	Kentriki Ellada
838	GR21	GR	Ήπειρος	Ipeiros	Ipeiros	Ipeiros
839	GR211	GR	Άρτα	Arta	Arta	Arta
840	GR212	GR	Θεσπρωτία	Thesprotia	Thesprotia	Thesprotia
841	GR213	GR	Ιωάννινα	Ioannina	Ioannina	Ioannina
842	GR214	GR	Πρέβεζα	Preveza	Preveza	Preveza
843	GR22	GR	Ιόνια Νησιά	Ionia Nisia	Ionia Nisia	Ionia Nisia
844	GR221	GR	Ζάκυνθος	Zakynthos	Zakynthos	Zakynthos
845	GR222	GR	Κέρκυρα	Kerkyra	Kerkyra	Kerkyra
846	GR223	GR	Κεφαλληνία	Kefallinia	Kefallinia	Kefallinia
847	GR224	GR	Λευκάδα	Lefkada	Lefkada	Lefkada
